None,belief,emotion,intention,action,understanding,influence,transformation
gpt-4o-2024-05-13,0.5924736842105263,0.6762631578947368,0.716842105263158,0.6932142857142857,0.89245,0.7909333333333334,0.49216666666666664
gpt-4-turbo-2024-04-09,0.44263157894736843,0.4972105263157895,0.5525263157894736,0.5244285714285715,0.7251,0.5816,0.34641666666666665
Meta-Llama-3.1-70B-Instruct,0.4583684210526316,0.612578947368421,0.634,0.6257142857142857,0.8359,0.6038666666666667,0.42716666666666664
Meta-Llama-3.1-8B-Instruct,0.243,0.26352631578947366,0.2051578947368421,0.19028571428571428,0.29805,0.2664,0.17302777777777778
Mixtral-8x7B-Instruct-v0.1,0.2216842105263158,0.31742105263157894,0.2657894736842105,0.19985714285714284,0.35865,0.3716,0.14844444444444443
Mistral-7B-Instruct-v0.3,0.1631578947368421,0.17968421052631578,0.1618421052631579,0.1357142857142857,0.2044,0.2332,0.10841666666666666
Qwen2-72B-Instruct,0.47342105263157896,0.5767894736842105,0.5990526315789474,0.4475,0.81325,0.6393333333333333,0.3262777777777778
Qwen2-7B-Instruct,0.2006315789473684,0.29705263157894735,0.19542105263157894,0.18507142857142858,0.2916,0.23873333333333333,0.17630555555555555
DeepSeek-V2-Lite-Chat,0.106,0.08115789473684211,0.0691578947368421,0.04807142857142857,0.04905,0.1162,0.07830555555555556
glm-4-9b-chat,0.2829473684210526,0.2926315789473684,0.23236842105263159,0.24314285714285713,0.35695,0.3138,0.19191666666666668
